office,co2e
Associated Students Concerts & Events,0.004624
Associated Students Concerts & Events,0.020807
Associated Students Concerts & Events,0.002312
Associated Students Concerts & Events,0.003120
Associated Students Concerts & Events,0.001460
Associated Students Concerts & Events,0.004770
Associated Students Concerts & Events,0.003120
Associated Students Concerts & Events,10.541300
Associated Students Concerts & Events,6.253530
Associated Students Concerts & Events,0.000000
Associated Students Concerts & Events,0.000000
Associated Students Concerts & Events,0.171861
Associated Students Concerts & Events,0.042652
Associated Students Concerts & Events,0.086558
Associated Students Concerts & Events,1.029911
Associated Students Concerts & Events,0.052687
Associated Students Concerts & Events,0.012545
Associated Students Concerts & Events,0.026344
Associated Students Concerts & Events,0.316124
Associated Students Concerts & Events,-0.010080
Associated Students Concerts & Events,-0.003360
Associated Students Concerts & Events,-0.171861
Associated Students Concerts & Events,-0.042652
Associated Students Concerts & Events,0.891240
Associated Students Concerts & Events,-0.086558
Associated Students Concerts & Events,-1.029911
Associated Students Concerts & Events,0.273000
Associated Students Concerts & Events,-0.052687
Associated Students Concerts & Events,-0.012545
Associated Students Concerts & Events,-0.026344
Associated Students Concerts & Events,-0.316124
Associated Students Concerts & Events,0.001540
Associated Students Concerts & Events,0.006930
Associated Students Concerts & Events,0.000770
Associated Students Concerts & Events,0.005960
Associated Students Concerts & Events,0.000000
Associated Students Concerts & Events,10.597600
Associated Students Concerts & Events,0.127955
Associated Students Concerts & Events,0.032616
Associated Students Concerts & Events,0.766474
Associated Students Concerts & Events,0.663600
Associated Students Concerts & Events,0.063977
Associated Students Concerts & Events,-0.127955
Associated Students Concerts & Events,-0.032616
Associated Students Concerts & Events,-0.766474
Associated Students Concerts & Events,-0.063977
